Year,Team,Player,ast,stl,blk,3p%,3pA,2p%,2pA,MP,WS
1969,Boston Celtics,Bailey Howell,1.8,None,None,None,None,.487,16.1,32.4,11.3
1969,Boston Celtics,Tom Sanders,1.3,None,None,None,None,.430,10.3,26.6,5.4
1969,Oakland Oaks,Rick Barry,3.9,None,None,.300,0.3,.514,21.6,38.9,8.5
1969,Oakland Oaks,Warren Jabali,3.5,None,None,.250,0.6,.456,17.4,35.8,5.8
1969,Oakland Oaks,Doug Moe,2.0,None,None,.357,0.2,.432,16.2,33.7,4.8
1969,Oakland Oaks,Larry Brown,7.1,None,None,.229,0.5,.447,8.7,30.9,5.8
1969,Oakland Oaks,Gary Bradds,1.2,None,None,.143,0.1,.499,13.8,30.0,8.0
1968,Boston Celtics,Bill Russell,4.6,None,None,None,None,.425,11.0,37.9,8.2
1968,Boston Celtics,John Havlicek,4.7,None,None,None,None,.429,18.9,35.6,7.6
1968,Boston Celtics,Bailey Howell,1.6,None,None,None,None,.481,16.3,34.2,10.1
1968,Boston Celtics,Sam Jones,3.0,None,None,None,None,.461,18.5,33.0,7.7
1968,Boston Celtics,Larry Siegfried,4.7,None,None,None,None,.415,10.1,31.2,5.1
1968,Pittsburgh Pipers,Connie Hawkins,4.6,None,None,.222,0.1,.521,17.3,44.9,17.9
1968,Pittsburgh Pipers,Art Heyman,4.4,None,None,.274,2.2,.476,12.8,39.2,8.1
1968,Pittsburgh Pipers,Charles Williams,2.2,None,None,.287,2.3,.424,17.9,39.0,3.9
1968,Pittsburgh Pipers,Chico Vaughn,1.9,None,None,.334,5.5,.399,12.7,38.6,4.9
1968,Pittsburgh Pipers,Ira Harge,0.7,None,None,None,0.0,.399,8.5,31.8,2.1
1967,Philadelphia 76ers,Wilt Chamberlain,7.8,None,None,None,None,.683,14.2,45.5,21.9
1967,Philadelphia 76ers,Hal Greer,3.8,None,None,None,None,.459,19.1,38.6,7.6
1967,Philadelphia 76ers,Chet Walker,2.3,None,None,None,None,.488,14.2,33.2,10.1
1967,Philadelphia 76ers,Luke Jackson,1.4,None,None,None,None,.438,10.9,29.3,4.2
1967,Philadelphia 76ers,Wali Jones,3.7,None,None,None,None,.431,12.1,27.8,4.0
1966,Boston Celtics,Bill Russell,4.8,None,None,None,None,.415,12.1,43.4,11.7
1966,Boston Celtics,K.C. Jones,6.3,None,None,None,None,.388,7.7,33.9,6.6
1966,Boston Celtics,Sam Jones,3.2,None,None,None,None,.469,19.9,32.2,10.0
1966,Boston Celtics,John Havlicek,3.0,None,None,None,None,.399,18.7,30.6,4.3
1966,Boston Celtics,Tom Sanders,1.3,None,None,None,None,.428,11.3,26.3,5.5
1965,Boston Celtics,Bill Russell,5.3,None,None,None,None,.438,12.6,44.4,16.9
1965,Boston Celtics,Sam Jones,2.8,None,None,None,None,.452,22.7,36.1,12.8
1965,Boston Celtics,K.C. Jones,5.6,None,None,None,None,.396,8.2,31.2,6.7
1965,Boston Celtics,Tom Sanders,1.2,None,None,None,None,.429,10.9,30.7,7.5
1965,Boston Celtics,John Havlicek,2.7,None,None,None,None,.401,18.9,28.9,4.5
1964,Boston Celtics,Bill Russell,4.7,None,None,None,None,.433,13.8,44.6,17.3
1964,Boston Celtics,John Havlicek,3.0,None,None,None,None,.417,19.2,32.3,7.7
1964,Boston Celtics,Sam Jones,2.7,None,None,None,None,.450,17.9,31.3,8.9
1964,Boston Celtics,K.C. Jones,5.1,None,None,None,None,.392,9.0,30.3,5.8
1964,Boston Celtics,Tom Sanders,1.3,None,None,None,None,.417,10.5,29.6,7.6
1963,Boston Celtics,Bill Russell,4.5,None,None,None,None,.432,15.2,44.9,13.5
1963,Boston Celtics,Sam Jones,3.2,None,None,None,None,.476,17.2,30.6,9.6
1963,Boston Celtics,John Havlicek,2.2,None,None,None,None,.445,13.6,27.5,6.4
1963,Boston Celtics,Tom Sanders,1.2,None,None,None,None,.456,9.3,26.9,6.8
1963,Boston Celtics,Tom Heinsohn,1.3,None,None,None,None,.423,17.1,26.4,6.8
1962,Boston Celtics,Bill Russell,4.5,None,None,None,None,.457,16.6,45.2,15.5
1962,Boston Celtics,Sam Jones,3.0,None,None,None,None,.464,16.5,30.6,9.6
1962,Boston Celtics,Tom Heinsohn,2.1,None,None,None,None,.429,20.4,30.2,9.3
1962,Boston Celtics,Tom Sanders,0.9,None,None,None,None,.435,10.1,29.1,7.2
